PlantNum,WTM_X,WTM_Y,AY,Course,Density,Bed,PlotID,Row,RowID,OldLocFt,NewLoc,NewLocFt,NewLocIn,NewLocDecFt,NewLocM,PlotLen,PlotLenFt,PlotLenIn,PlotLenDecFt,PlotLen_m,RelativePos,FrontX_WTM,BackX_WTM,FrontY_WTM,BackY_WTM
30,556084.5193,405084.5158,1,4,Low,6,L-406,3,L-406-3,9'5,9'10,9,10,9.8333,2.9972,20'3,20,3,20.25,6.1722,0.485596708,556084.549,556084.4878,405081.5015,405087.709
31,556083.5048,405082.6174,1,4,Low,6,L-406,1,L-406-1,3'5,3'6,3,6,3.5,1.0668,20'2,20,2,20.1667,6.1468,0.173553719,556083.5021,556083.5177,405081.5413,405087.7415
32,556084.5158,405084.8735,1,4,Low,6,L-406,3,L-406-3,10'7,11'0,11,0,11,3.3528,20'3,20,3,20.25,6.1722,0.543209877,556084.549,556084.4878,405081.5015,405087.709
33,556084.5185,405084.5925,0,4,Low,6,L-406,3,L-406-3,9'7,10'1,10,1,10.0833,3.0734,20'3,20,3,20.25,6.1722,0.497942387,556084.549,556084.4878,405081.5015,405087.709
34,556060.7788,405083.4322,1,4,High,1,H-411,3,H-411-3,6'6,5'10,5,10,5.8333,1.778,21'4,21,4,21.3333,6.5024,0.2734375,556060.7932,556060.7406,405081.6935,405088.0521
35,556060.2535,405084.0429,1,4,High,1,H-411,2,H-411-2,7'6,7'9,7,9,7.75,2.3622,21'0,21,0,21,6.4008,0.369047619,556060.2858,556060.1983,405081.7074,405088.0358
36,556082.1482,405094.4421,1,3,Low,5,L-305,2,L-305-2,10'0,10'4,10,4,10.3333,3.1496,20'6,20,6,20.5,6.2484,0.504065041,556082.186,556082.111,405091.3041,405097.5294
37,556052.9687,405101.7097,1,2,High,7,H-207,2,H-207-2,1'2,1'4,1,4,1.3333,0.4064,20'11,20,11,20.9167,6.3754,0.06374502,556052.9705,556052.9416,405101.3085,405107.6028
38,556068.0351,405114.5906,1,1,High,5,H-115,3,H-115-3,13'8,12'1,12,1,12.0833,3.683,20'11,20,11,20.9167,6.3754,0.577689243,556068.0566,556068.0194,405111.0045,405117.2122
39,556093.447,405113.4975,1,1,Low,1,L-111,3,L-111-3,8'5,9'2,9,2,9.1667,2.794,20'5,20,5,20.4167,6.223,0.448979592,556093.4532,556093.4394,405110.7338,405116.8893
40,556093.4427,405115.4321,1,1,Low,1,L-111,3,L-111-3,15'0,15'7,15,7,15.5833,4.7498,20'5,20,5,20.4167,6.223,0.763265306,556093.4532,556093.4394,405110.7338,405116.8893
41,556078.2959,405077.797,1,5,Low,3,L-503,1,L-503-1,19'9,20'0,20,0,20,6.096,20'9,20,9,20.75,6.3246,0.963855422,556078.3516,556078.2938,405071.5675,405078.0306
42,556093.7256,405071.8984,0,5,Low,1,L-511,3,L-511-3,0'10,0'10,0,10,0.8333,0.254,20'5,20,5,20.4167,6.223,0.040816327,556093.725,556093.7397,405071.6451,405077.852
43,556093.7283,405073.0385,0,5,Low,1,L-511,3,L-511-3,4'6,4'7,4,7,4.5833,1.397,20'5,20,5,20.4167,6.223,0.224489796,556093.725,556093.7397,405071.6451,405077.852
44,556100.5445,405093.6929,0,3,Low,5,L-315,2,L-315-2,19'3,8'10,8,10,8.8333,2.6924,20'9,20,9,20.75,6.3246,0.425702811,556100.5897,556100.4836,405091.0395,405097.2724
45,556070.5294,405105.7026,0,2,High,7,H-217,1,H-217-1,14'9,14'10,14,10,14.8333,4.5212,20'2,20,2,20.1667,6.1468,0.73553719,556070.5407,556070.5254,405101.2836,405107.2914
46,556092.9668,405115.3808,1,1,Low,1,L-111,2,L-111-2,13'8,15'4,15,4,15.3333,4.6736,20'5,20,5,20.4167,6.223,0.751020408,556092.9466,556092.9735,405110.7509,405116.9157
47,556043.4248,405077.1082,1,5,High,2,H-502,1,H-502-1,17'3,17'5,17,5,17.4167,5.3086,22'3,22,3,22.25,6.7818,0.782771536,556043.4452,556043.4191,405071.7707,405078.5894
48,556044.4417,405078.1087,1,5,High,2,H-502,3,H-502-3,20'4,20'8,20,8,20.6667,6.2992,22'3,22,3,22.25,6.7818,0.928838951,556044.5983,556044.4297,405071.7749,405078.5939
49,556057.2694,405073.7906,0,5,High,9,H-509,3,H-509-3,6'9,6'11,6,11,6.9167,2.1082,22'0,22,0,22,6.7056,0.314393939,556057.2855,556057.2343,405071.6777,405078.3984
50,556057.2624,405074.7071,0,5,High,9,H-509,3,H-509-3,9'9,9'11,9,11,9.9167,3.0226,22'0,22,0,22,6.7056,0.450757576,556057.2855,556057.2343,405071.6777,405078.3984
51,556057.2605,405074.9617,1,5,High,9,H-509,3,H-509-3,10'7,10'9,10,9,10.75,3.2766,22'0,22,0,22,6.7056,0.488636364,556057.2855,556057.2343,405071.6777,405078.3984
52,556078.2973,405077.6413,1,5,Low,3,L-503,1,L-503-1,19'2,19'6,19,6,19.5,5.9436,20'9,20,9,20.75,6.3246,0.939759036,556078.3516,556078.2938,405071.5675,405078.0306
53,556078.3504,405071.6973,1,5,Low,3,L-503,1,L-503-1,0'5,0'5,0,5,0.4167,0.127,20'9,20,9,20.75,6.3246,0.020080321,556078.3516,556078.2938,405071.5675,405078.0306
