SampleID,Year,SampleType,SampleNum,Date,Subgroup,R16,Ref_1A,SNP125_1B,SNP162_1B,Prp1A,Prp1B,SAP05,SAP06,SAP11,SAP13,SAP15,SAP19,SAP21,SAP27,SAP35,SAP36,SAP41,SAP42,SAP44,SAP45,SAP48,SAP49,SAP54,SAP66,SAP67,SAP68
2018_C_0072,2018,C,72,2018-09-18,1A,415,401,14,14,0.96626506,0.03373494,2860,13182,3755,10675,16970,1675,0,311,809,117,14817,17610,2142,4641,11702,13505,231,8951,147,489
2018_C_0078,2018,C,78,2018-09-18,1B,325,13,312,312,0.04,0.96,2491,121,29,39,87,33,0,311,593,97,250,3977,4072,51,11165,15044,53,153,3,9
2018_C_0080,2018,C,80,2018-10-02,1B,497,17,480,480,0.034205231,0.965794769,2447,127,27,29,73,33,0,185,665,357,2084,3447,3667,43,8929,15548,131,167,11,19
2018_C_0082,2018,C,82,2018-10-02,1A,295,287,8,8,0.972881356,0.027118644,3625,8899,4133,6809,11181,1123,5,309,763,283,9048,14606,1923,4513,6775,7439,209,4575,153,655
2018_C_0083,2018,C,83,2018-10-02,1A,121,121,0,0,1,0,2709,10961,2957,7216,9877,889,3,213,417,105,11583,15964,1948,3172,8414,9549,95,5811,77,389
2018_C_0087,2018,C,87,2018-10-02,1A,229,217,8,12,0.947598253,0.052401747,3271,12207,3787,7177,11163,1133,7,241,607,273,9018,15118,2105,4498,7534,7838,127,5401,121,467
2018_C_0088,2018,C,88,2018-10-02,1A,183,179,0,4,0.978142077,0.021857923,2547,9979,1663,5761,9300,1251,13,163,441,75,7246,6975,1177,2441,4075,9584,175,5001,23,329
2018_C_0089,2018,C,89,2018-10-02,1B,313,7,306,306,0.022364217,0.977635783,2525,52,19,23,65,7,0,711,901,479,1086,3914,5665,67,14097,22374,195,115,7,3
2018_C_0091,2018,C,91,2018-10-02,1A,227,215,10,12,0.947136564,0.052863436,2447,12925,3691,7273,11735,1439,5,169,639,89,10604,12111,1638,3975,6827,9507,259,6059,113,401
2018_C_0092,2018,C,92,2018-10-02,1B,125,13,112,110,0.104,0.896,2672,5891,469,867,663,139,0,189,295,61,8842,3600,3002,1327,6254,14643,15,3105,61,183
2018_C_0093,2018,C,93,2018-10-02,1A,305,291,12,14,0.954098361,0.045901639,3210,13500,4485,8571,11337,1311,7,291,809,171,10266,16305,2264,5836,8186,9184,177,6293,195,555
2018_C_0095,2018,C,95,2018-10-02,1A,271,263,8,8,0.970479705,0.029520295,3949,15451,4463,9589,13107,1527,9,265,773,191,13035,18175,2382,5233,10886,11221,153,7039,153,579
2018_C_0098,2018,C,98,2018-10-02,1A,269,269,0,0,1,0,3853,8772,4515,5887,9362,1497,0,233,749,169,7924,13470,2298,5675,5967,8933,133,4897,151,409
2018_C_0099,2018,C,99,2018-10-02,1A,203,199,4,4,0.980295567,0.019704433,2639,9113,2951,5585,10507,1213,3,183,495,81,10068,11639,1431,3735,5657,9742,177,5277,63,315
2018_C_0103,2018,C,103,2018-10-02,1B,447,13,434,430,0.029082774,0.970917226,2587,196,39,65,74,17,0,439,691,294,2116,3385,6430,81,14592,15845,117,202,9,7
2018_C_0108,2018,C,108,2018-10-02,1B,261,1,260,252,0.003831418,0.996168582,2983,820,115,61,81,39,0,391,1009,183,8983,7232,6540,243,14610,15301,279,777,25,47
2018_C_0109,2018,C,109,2018-10-02,1B,267,3,264,262,0.011235955,0.988764045,2101,43,21,35,55,21,0,353,743,181,1108,2809,4332,41,10969,13949,97,87,5,9
2018_C_0113,2018,C,113,2018-10-02,1A,233,229,4,4,0.982832618,0.017167382,3403,10401,5211,12130,13735,1659,7,295,957,155,13958,18011,2267,4734,11101,9177,287,6803,171,607
2018_C_0115,2018,C,115,2018-10-02,1A,287,279,8,8,0.972125436,0.027874564,3549,9297,5875,6987,11314,1639,3,337,869,265,9994,19325,2705,5806,8859,12242,169,4983,105,487
2018_C_0117,2018,C,117,2018-10-02,1B,245,9,236,236,0.036734694,0.963265306,2083,63,11,25,51,9,0,161,683,115,561,2717,4326,37,9235,13642,43,73,0,13
2018_C_0119,2018,C,119,2018-10-02,1A,165,165,0,0,1,0,3075,11928,4571,8910,11827,1189,21,303,797,149,12784,18277,2747,5306,9147,8459,185,7233,135,491
2018_C_0122,2018,C,122,2018-10-02,1B,367,5,362,358,0.013623978,0.986376022,237,75,33,71,119,29,3,367,509,241,1630,5292,4407,69,25122,28669,131,101,5,17
2018_C_0123,2018,C,123,2018-10-02,1A,149,143,0,6,0.959731544,0.040268456,3695,16759,3137,9571,14583,779,5,189,441,53,18821,20125,2199,5114,17813,18564,45,9689,91,383
2018_C_0126,2018,C,126,2018-10-02,1A,119,119,0,0,1,0,2964,14605,3853,12398,15771,865,5,195,481,109,13714,23125,2654,5712,13497,11122,129,7517,99,287
2018_C_0127,2018,C,127,2018-10-02,1B,171,7,164,164,0.040935673,0.959064327,2227,27,17,37,103,13,0,241,737,99,98,9613,5214,29,16376,17283,137,45,3,5
2018_C_0128,2018,C,128,2018-10-02,1B,249,11,238,238,0.044176707,0.955823293,2429,59,21,55,81,15,0,285,563,131,864,3881,4626,61,12968,13467,99,111,0,3
2018_C_0131,2018,C,131,2018-10-02,1B,225,7,218,218,0.031111111,0.968888889,259,55,23,65,131,29,0,309,619,219,797,10224,5986,65,28443,21611,127,147,0,7
2018_C_0132,2018,C,132,2018-10-02,1B,123,9,114,112,0.073170732,0.926829268,2705,59,11,37,115,0,0,129,507,63,6618,6590,5381,29,22704,20510,121,111,0,3
2018_C_0135,2018,C,135,2018-10-02,1A,61,61,0,0,1,0,2626,15682,2861,10671,9355,421,3,105,285,111,15061,20002,2030,4438,12701,8881,25,9363,31,387
2018_C_0136,2018,C,136,2018-10-02,1A,217,207,4,10,0.953917051,0.046082949,2191,11225,1727,6734,6901,275,3,169,193,97,15099,13187,1301,3133,13117,14766,45,6539,71,323
2018_C_0137,2018,C,137,2018-10-02,1B,271,13,258,254,0.04797048,0.95202952,161,85,13,33,89,33,0,319,605,175,472,7957,3118,31,9071,13084,151,171,0,11
2018_C_0138,2018,C,138,2018-10-02,1A,213,207,6,6,0.971830986,0.028169014,2065,12209,3575,7016,12284,1007,9,229,507,173,10639,14239,1914,3659,7957,8216,105,4017,143,417
2018_C_0139,2018,C,139,2018-10-02,1A,255,243,12,12,0.952941176,0.047058824,3785,12189,4077,7537,10431,1315,15,349,731,209,13493,16589,2392,5415,6559,10598,233,6179,171,463
2018_C_0140,2018,C,140,2018-10-02,1A,225,217,8,8,0.964444444,0.035555556,2803,8468,3497,5384,10748,745,13,273,501,141,9795,16038,1794,4941,7434,5974,147,4635,151,427
2018_C_0141,2018,C,141,2018-10-02,1A,105,105,0,0,1,0,2585,15174,3127,8467,11672,911,0,141,339,69,8926,16924,1894,3625,5687,4594,71,6441,81,137
2018_C_0142,2018,C,142,2018-10-02,1B,379,5,374,370,0.013192612,0.986807388,2197,39,21,35,83,13,0,431,767,305,297,6126,4519,45,10336,12460,179,89,3,3
2018_C_0143,2018,C,143,2018-10-02,1A,225,217,8,6,0.964444444,0.035555556,2593,8629,3373,6344,11405,1041,13,287,521,197,11912,14349,1837,3547,7578,8208,149,5207,169,473
2018_C_0144,2018,C,144,2018-10-02,1A,213,213,0,0,1,0,2583,9402,2819,5354,7971,1003,5,221,439,129,9083,12846,1860,3399,6049,8238,117,4815,135,345
2018_C_0150,2018,C,150,2018-10-02,1A,137,131,4,6,0.95620438,0.04379562,2708,10912,2917,8023,10361,961,11,169,433,113,12833,16615,2087,4819,8551,8898,95,6103,121,303
2018_C_0151,2018,C,151,2018-10-02,1A,259,251,4,8,0.969111969,0.030888031,2975,11342,3829,8097,10296,1279,7,217,589,111,11469,15585,1899,5501,7979,10503,211,6613,133,459
2018_C_0152,2018,C,152,2018-10-02,1B,208,3,205,204,0.014423077,0.985576923,2859,87,19,33,95,19,0,221,415,139,934,3352,4256,81,10357,11504,113,139,3,9
2018_C_0153,2018,C,153,2018-10-02,1A,145,145,0,0,1,0,3441,8731,2191,6993,5595,507,3,153,257,219,10706,11561,64,3691,10043,10538,151,4083,63,293
2018_C_0154,2018,C,154,2018-10-02,1B,285,15,270,270,0.052631579,0.947368421,2059,1571,151,197,223,91,0,171,301,93,7688,1422,2210,421,7952,11909,17,1567,19,71
2018_C_0156,2018,C,156,2018-10-02,1A,207,201,6,6,0.971014493,0.028985507,2189,9006,3313,5903,8978,1143,13,161,539,89,7667,11927,1605,3743,5803,6426,199,4371,139,503
2018_C_0157,2018,C,157,2018-10-02,1A,161,157,0,4,0.97515528,0.02484472,2797,6958,2651,5192,7733,791,0,139,371,145,10224,12108,1610,3766,7331,8116,65,4243,77,321
2018_C_0158,2018,C,158,2018-10-02,1A,241,241,0,0,1,0,3863,14311,5291,13945,19709,1353,15,336,667,167,16634,26316,3056,6856,16399,13092,205,8379,139,591
2018_C_0160,2018,C,160,2018-10-02,1A,87,87,0,0,1,0,2408,9785,3077,7421,9136,813,9,223,389,91,9898,14989,1910,4271,5809,6500,75,5117,161,305
2018_C_0161,2018,C,161,2018-10-02,1A,173,169,0,4,0.976878613,0.023121387,2421,9027,2867,6488,8665,711,15,175,291,71,11207,13001,1645,3964,9066,9854,53,4161,61,371
2018_C_0162,2018,C,162,2018-10-02,1A,123,123,0,0,1,0,2366,7616,2671,6647,9851,733,7,137,433,193,10352,13985,1959,4311,7302,7678,53,4705,67,347
2018_C_0164,2018,C,164,2018-10-02,1A,51,51,0,0,1,0,2320,10672,2341,5840,7109,653,0,205,229,103,13718,11691,1740,3453,11294,11656,41,4579,33,235
2018_C_0165,2018,C,165,2018-10-02,1A,131,131,0,0,1,0,2457,10803,3541,7622,11390,1005,5,189,471,81,11188,15974,2183,4991,9115,10500,157,5897,75,365
2018_C_0166,2018,C,166,2018-10-02,1A,215,205,8,10,0.953488372,0.046511628,2249,9449,3213,5919,9582,1319,7,217,531,133,10282,12469,2318,5383,7696,8491,209,5553,101,365
2018_C_0168,2018,C,168,2018-10-02,1A,345,339,0,6,0.982608696,0.017391304,3323,21008,3923,13533,21613,1639,9,231,561,153,19600,23242,2087,6169,17065,15324,151,11921,113,451
2018_C_0170,2018,C,170,2018-10-02,1A,233,223,6,10,0.957081545,0.042918455,3275,19572,4453,15496,19505,1265,11,219,709,131,19156,29379,2995,8451,17420,14699,157,11340,95,407
2018_C_0173,2018,C,173,2018-10-02,1A,181,165,16,16,0.91160221,0.08839779,3098,12759,1945,8831,9595,447,3,163,317,215,17505,14415,1674,3976,13606,14707,43,8853,63,267
2018_C_0174,2018,C,174,2018-10-02,1A1B,225,99,126,116,0.44,0.56,3427,15039,2353,7510,6614,395,0,159,285,199,18683,19216,3165,5195,13493,18919,43,10099,83,237
2018_C_0175,2018,C,175,2018-10-02,1A,23,23,0,0,1,0,3329,17707,4297,15219,20840,1381,11,193,373,141,15810,27921,2607,6323,14686,13992,123,11303,23,355
2018_C_0176,2018,C,176,2018-10-02,1A,131,131,0,0,1,0,2617,17668,3387,13496,17903,1053,3,133,505,87,17921,23155,2215,5741,15755,10024,71,9750,89,323
2018_C_0179,2018,C,179,2018-10-02,1B,255,5,250,248,0.019607843,0.980392157,1889,51,17,37,63,13,0,269,313,287,56,2995,4284,13,13674,15292,45,65,0,3
2018_C_0180,2018,C,180,2018-10-02,1A,227,221,6,6,0.973568282,0.026431718,2669,15477,3901,11291,14087,1163,7,243,575,135,15718,19367,2148,5921,13954,11064,129,8537,99,401
2018_C_0181,2018,C,181,2018-10-02,1A,341,327,14,14,0.958944282,0.041055718,3817,15895,5279,9854,14244,1736,5,425,833,9,11786,23046,2865,6641,9235,11964,279,6756,265,649
2018_C_0183,2018,C,183,2018-10-02,1A,241,227,8,14,0.941908714,0.058091286,2623,14101,3143,7838,10997,1113,7,303,485,183,12708,16751,2199,3697,9852,10068,119,6259,155,379
2018_C_0189,2018,C,189,2018-10-02,1B,289,5,280,284,0.017301038,0.982698962,2547,43,15,37,77,11,0,265,637,139,64,6362,4876,29,10642,15805,173,49,0,5
2018_C_0190,2018,C,190,2018-10-02,1A,283,269,10,14,0.950530035,0.049469965,2921,9879,3503,8860,13102,1173,5,275,597,133,10914,17244,2260,4371,6813,10044,167,6171,97,381
2018_C_0194,2018,C,194,2018-10-02,1A,293,287,0,6,0.979522184,0.020477816,2187,8684,2831,5075,9201,1121,9,245,575,147,7919,9636,1436,2917,4667,5981,155,4301,141,433
2018_C_0195,2018,C,195,2018-10-02,1A,261,255,6,6,0.977011494,0.022988506,3872,16040,5323,12566,14610,1517,19,359,741,187,16695,23160,2910,7809,11734,12726,225,7823,203,649
2018_C_0196,2018,C,196,2018-10-02,1A,245,237,6,8,0.967346939,0.032653061,3455,16487,4141,10116,14022,1259,7,215,525,89,11987,19588,2641,6065,9195,8383,139,6699,95,405
2018_C_0198,2018,C,198,2018-10-02,1A,307,307,0,0,1,0,3557,11152,4437,8745,13508,1417,9,245,667,143,12112,17831,2396,5857,8657,9522,215,6037,143,341
2018_C_0199,2018,C,199,2018-10-02,1B,301,3,296,298,0.009966777,0.990033223,249,49,19,27,59,13,0,203,681,217,492,6148,4323,29,12096,13422,75,29,0,0
2018_C_0200,2018,C,200,2018-10-02,1B,133,5,128,128,0.037593985,0.962406015,163,287,37,39,83,37,0,259,651,111,2852,6234,3657,71,11680,13781,121,357,0,15
2018_C_0202,2018,C,202,2018-10-02,1A,210,206,4,4,0.980952381,0.019047619,3444,9201,3111,6537,9440,913,7,185,473,119,10042,14272,2337,5397,7352,8371,89,5241,21,315
2018_C_0203,2018,C,203,2018-10-02,1A,165,165,0,0,1,0,2979,9194,3765,7177,11313,1199,5,151,585,77,8804,14935,1892,5268,7518,6520,179,4985,109,333
2018_C_0205,2018,C,205,2018-10-02,1A,235,235,0,0,1,0,2621,10409,4209,7869,8782,1339,9,259,617,173,7342,15563,1803,4241,5850,5905,209,4609,29,457
2018_C_0206,2018,C,206,2018-10-02,1A,71,71,0,0,1,0,3643,11215,4451,9626,16299,1537,3,309,793,133,15193,19443,2943,6214,9177,12067,153,7825,41,433
2018_C_0207,2018,C,207,2018-10-02,1A,159,147,12,12,0.924528302,0.075471698,2619,10505,3249,7115,11734,1335,11,155,601,65,9377,12983,1903,4189,6965,9951,169,5515,63,335
2018_C_0209,2018,C,209,2018-10-02,1A,149,145,0,4,0.973154362,0.026845638,2523,12100,2441,8029,12074,1179,3,189,373,103,10419,13045,2016,4013,8836,10797,57,7957,99,263
2018_C_0211,2018,C,211,2018-10-02,1B,85,1,82,84,0.011764706,0.988235294,2007,139,15,29,61,11,0,89,323,43,1479,4052,4380,69,10465,12907,99,187,0,3
2018_C_0214,2018,C,214,2018-10-02,1A,221,211,8,10,0.954751131,0.045248869,3431,15838,5042,12979,11535,1419,9,327,795,9,14374,24902,3119,6780,12382,9888,201,9127,189,677
2018_C_0217,2018,C,217,2018-10-02,1A,117,113,0,4,0.965811966,0.034188034,2855,10409,2967,7914,10023,1009,3,149,297,101,13077,13501,2002,4441,9592,8246,37,7183,139,257
2018_C_0219,2018,C,219,2018-10-02,1A,35,31,4,4,0.885714286,0.114285714,1860,6620,1127,3351,3769,485,0,61,185,23,9260,5932,1256,2095,5792,7542,13,4113,31,161
2018_C_0220,2018,C,220,2018-10-02,1A,153,149,4,4,0.973856209,0.026143791,3435,20377,2643,13639,17626,1213,7,187,375,157,23200,23567,2377,7005,18474,21220,39,13053,77,313
2018_C_0221,2018,C,221,2018-10-02,1A,121,115,6,6,0.950413223,0.049586777,2705,17148,3205,12409,15687,1193,7,143,669,89,13949,19839,2324,6257,12540,11016,89,9446,97,365
2018_C_0222,2018,C,222,2018-10-02,1A,343,337,0,6,0.982507289,0.017492711,3080,17504,4810,16882,20663,1441,5,311,865,129,17993,27860,2975,7201,16390,11970,229,10407,171,439
2018_C_0223,2018,C,223,2018-10-02,1A,255,247,0,8,0.968627451,0.031372549,3065,13949,4003,9997,16872,1185,5,199,575,97,14936,17315,2253,5915,10593,13272,125,8760,87,313
2018_C_0224,2018,C,224,2018-10-02,1B,319,5,314,310,0.015673981,0.984326019,2561,67,27,37,87,11,0,303,739,167,116,10192,6265,47,17402,20272,139,65,3,3
2018_C_0225,2018,C,225,2018-10-02,1A,235,221,14,14,0.940425532,0.059574468,2809,17075,4107,13672,17107,1645,13,219,737,5,14183,23458,2414,6571,11849,11720,207,9961,89,505
2018_C_0226,2018,C,226,2018-10-02,1A,261,253,0,8,0.969348659,0.030651341,2876,16789,4245,14858,15178,1451,9,201,641,131,13292,18881,1890,6045,8356,10444,185,9659,117,383
2018_C_0227,2018,C,227,2018-10-02,1B,301,3,298,296,0.009966777,0.990033223,2301,49,25,42,87,21,0,329,725,215,342,6148,5340,37,17527,18771,117,75,0,3
2018_C_0228,2018,C,228,2018-10-02,1A,271,261,10,10,0.963099631,0.036900369,3324,14696,4433,11156,12712,1609,13,291,795,231,15308,21847,3007,4821,9515,11122,9,7467,243,575
2018_C_0229,2018,C,229,2018-10-02,1A,205,199,0,6,0.970731707,0.029268293,1989,10492,2599,5331,9449,1137,15,225,497,121,7545,10435,1327,3399,4844,9340,195,5099,123,357
2018_C_0232,2018,C,232,2018-10-02,1A,233,233,0,0,1,0,2845,13940,3981,7946,12162,1339,11,283,683,201,11770,16485,2030,4349,8022,9487,193,5851,227,545
2018_C_0238,2018,C,238,2018-10-02,1A,233,227,6,6,0.974248927,0.025751073,2303,9518,3623,5666,9450,895,7,207,491,161,9242,13389,1476,3603,5372,7683,101,4367,245,453
2018_C_0241,2018,C,241,2018-10-02,1B,269,5,264,264,0.018587361,0.981412639,1850,4187,417,241,203,65,3,341,517,139,6725,4961,3788,594,7734,9858,67,2239,41,123
2018_C_0245,2018,C,245,2018-10-02,1A,269,265,4,4,0.985130112,0.014869888,2679,9082,3605,6172,9865,1061,13,335,653,197,10232,13342,1870,3716,8203,7979,171,4759,153,469
2018_C_0246,2018,C,246,2018-10-02,1A,187,187,0,0,1,0,4559,15695,5442,10493,15108,1641,5,189,663,155,13184,23154,3324,8640,10509,12689,203,7602,137,407
2018_C_0255,2018,C,255,2018-10-02,1B,319,7,312,308,0.021943574,0.978056426,2922,29,37,15,75,23,0,309,713,217,225,5555,5570,25,15580,14032,135,35,3,5
2018_C_0257,2018,C,257,2018-10-02,1A,196,192,4,4,0.979591837,0.020408163,2618,14560,3369,10834,8980,1053,5,225,521,97,11870,14595,39,4783,11571,9177,111,53,147,5
2018_C_0259,2018,C,259,2018-10-02,1A,153,153,0,0,1,0,2631,10339,2714,5491,11485,1009,13,161,359,85,13103,9885,1304,3929,8966,11154,123,2901,83,343
2018_C_0261,2018,C,261,2018-10-02,1A,201,189,12,12,0.940298507,0.059701493,2837,8401,3881,6712,10482,1179,11,163,553,123,8742,13192,1874,4563,6377,6960,199,4279,83,363
2018_C_0262,2018,C,262,2018-10-02,1B,353,3,350,346,0.008498584,0.991501416,2545,163,51,53,75,19,0,347,601,211,2880,3512,3967,107,9180,11405,75,305,5,7
2018_C_0264,2018,C,264,2018-10-02,1A,103,103,0,0,1,0,2731,14582,4211,8585,11432,1149,7,185,615,119,11289,15657,2014,5333,7871,6643,199,5771,85,375
2018_C_0268,2018,C,268,2018-10-02,1A,337,325,8,12,0.964391691,0.035608309,2707,7166,3605,7131,9741,1157,11,344,633,147,11408,14817,2046,4906,8306,9015,173,4903,209,469
2018_C_0272,2018,C,272,2018-10-02,1A,85,85,0,0,1,0,3758,10995,5837,10069,16295,1659,9,233,913,155,13193,19796,2878,5771,10879,8407,207,6945,73,405
2018_C_0275,2018,C,275,2018-10-02,1A,187,187,0,0,1,0,3318,8756,3858,8143,12011,1089,7,167,683,145,11347,15900,2308,4764,9342,7153,179,5671,99,351
2018_C_0276,2018,C,276,2018-10-02,1B,237,5,232,230,0.021097046,0.978902954,2026,27,7,25,61,11,0,211,477,143,368,2352,4634,23,9981,14186,57,63,0,5
2018_C_0277,2018,C,277,2018-10-02,1A,139,135,0,4,0.971223022,0.028776978,2691,9901,3239,7315,9745,827,5,139,523,109,7432,14159,2048,4251,8126,6110,3,5217,75,377
2018_C_0281,2018,C,281,2018-10-02,1A,121,117,4,4,0.966942149,0.033057851,2347,7416,3047,5837,9648,1057,5,165,555,83,7733,11011,1569,3821,5575,7359,211,4383,19,361
2018_C_0282,2018,C,282,2018-10-02,1B,511,15,496,496,0.029354207,0.970645793,2152,31,27,21,53,23,3,907,1247,441,118,5137,5237,39,9371,13168,164,47,3,9
2018_C_0283,2018,C,283,2018-10-02,1A,73,73,0,0,1,0,2193,7605,3001,6366,7309,883,5,101,513,59,8730,12904,1846,3743,6951,7339,135,3947,41,399
2018_C_0284,2018,C,284,2018-10-02,1A,143,143,0,0,1,0,3269,8719,3109,7032,10600,741,11,245,497,9,23309,14271,1853,4859,16045,18890,141,4269,65,403
2018_C_0287,2018,C,287,2018-10-02,1A,279,273,0,6,0.978494624,0.021505376,2176,15836,3379,12012,16465,941,11,339,397,102,30296,22365,1891,5893,26028,17052,157,7795,101,443
